;Unnamed: 0;momentum;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
9;9;0.9;0.01;128.0;5.0772366523742685;0.5410122275352478;5.3204121589660645;0.4083769619464874;5.18764591217041;0.4328097701072693;100.0;100.0;100.0;0.001
0;0;0.9;0.01;128.0;4.873705387115479;0.5462478399276733;4.955028057098389;0.547993004322052;4.83984375;0.5863874554634094;150.0;150.0;150.0;0.001
1;1;0.9;0.01;128.0;1.6121225357055664;0.4293193817138672;1.5390713214874268;0.4746945798397064;1.5710641145706177;0.4694589972496033;50.0;50.0;50.0;0.0001
2;2;0.9;0.01;128.0;1.5727584362030032;0.42757415771484375;2.4941656589508057;0.2670156955718994;1.5954116582870483;0.4746945798397064;100.0;100.0;100.0;0.0001
3;3;0.9;0.01;128.0;1.406335949897766;0.5567190051078796;1.3667503595352173;0.6125654578208923;1.5606143474578855;0.5270506143569946;150.0;150.0;150.0;0.0001
4;4;0.9;0.01;256.0;36.145206451416016;0.453752189874649;36.04456329345703;0.42757415771484375;36.15757751464844;0.4677137732505798;50.0;50.0;50.0;0.01
5;5;0.9;0.01;256.0;28.01711082458496;0.4223385751247406;27.97682762145996;0.5340313911437988;28.02080345153809;0.4764398038387298;100.0;100.0;100.0;0.01
6;6;0.9;0.01;256.0;21.88824462890625;0.4973821938037872;21.877490997314453;0.4083769619464874;21.88724136352539;0.4223385751247406;150.0;150.0;150.0;0.01
7;7;0.9;0.01;256.0;5.689118385314941;0.4293193817138672;5.622602939605713;0.4677137732505798;5.628585815429688;0.453752189874649;50.0;50.0;50.0;0.001
8;8;0.9;0.01;256.0;5.422880172729492;0.4415357708930969;5.38735294342041;0.5183246135711671;5.471206665039063;0.4694589972496033;100.0;100.0;100.0;0.001
9;9;0.9;0.01;256.0;5.230011940002441;0.5654450058937073;5.275968074798584;0.5427573919296265;5.302618026733398;0.4677137732505798;150.0;150.0;150.0;0.001
10;10;0.9;0.01;256.0;1.6910185813903809;0.4694589972496033;1.6847143173217771;0.4886561930179596;1.6441193819046018;0.4694589972496033;50.0;50.0;50.0;0.0001
11;11;0.9;0.01;256.0;1.5575118064880369;0.4956369996070862;1.5420321226119995;0.4904013872146606;1.5909266471862793;0.5026177763938904;100.0;100.0;100.0;0.0001
12;12;0.9;0.01;256.0;1.742100954055786;0.34205934405326843;1.5257616043090818;0.5130890011787415;1.542508840560913;0.5061082243919373;150.0;150.0;150.0;0.0001
